mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,var_names
-2.84,0.843,-4.62,-1.251,0.018,0.013,2200.0,3570.0,1.0,mu_intercept
1.197,0.59,-0.003,2.31,0.008,0.005,6666.0,4490.0,1.0,mu_slope
-2.853,0.515,-3.894,-1.891,0.005,0.004,10857.0,6810.0,1.0,intercepts[0]
-4.603,1.822,-8.114,-1.452,0.025,0.018,5335.0,5528.0,1.0,intercepts[1]
-2.422,0.584,-3.559,-1.296,0.006,0.004,10561.0,7062.0,1.0,intercepts[2]
-5.706,1.785,-9.134,-2.65,0.027,0.019,3882.0,3999.0,1.0,intercepts[3]
-3.14,0.81,-4.795,-1.655,0.008,0.006,10141.0,6367.0,1.0,intercepts[4]
-0.278,1.28,-2.736,2.309,0.02,0.015,4100.0,2628.0,1.0,intercepts[5]
-0.84,0.954,-2.768,0.998,0.014,0.012,4684.0,3865.0,1.0,intercepts[6]
-2.719,0.62,-3.953,-1.535,0.006,0.004,10936.0,6750.0,1.0,intercepts[7]
-2.211,0.797,-3.736,-0.62,0.009,0.006,8960.0,6342.0,1.0,intercepts[8]
-4.289,1.105,-6.602,-2.384,0.013,0.009,7026.0,5927.0,1.0,intercepts[9]
1.22,0.587,0.089,2.404,0.006,0.004,11163.0,7020.0,1.0,slopes[0]
0.941,1.11,-1.545,2.804,0.015,0.011,6542.0,4580.0,1.0,slopes[1]
1.093,0.771,-0.425,2.629,0.008,0.006,9868.0,6697.0,1.0,slopes[2]
0.811,1.163,-1.818,2.666,0.02,0.014,4097.0,4005.0,1.0,slopes[3]
1.218,0.809,-0.49,2.77,0.008,0.006,10051.0,6279.0,1.0,slopes[4]
1.348,0.931,-0.442,3.373,0.013,0.011,5719.0,3804.0,1.0,slopes[5]
1.827,1.172,-0.09,4.258,0.019,0.013,4998.0,4177.0,1.0,slopes[6]
1.259,0.713,-0.107,2.78,0.007,0.006,10139.0,6927.0,1.0,slopes[7]
1.19,0.747,-0.357,2.683,0.008,0.007,8607.0,6190.0,1.0,slopes[8]
1.115,0.873,-0.78,2.782,0.01,0.007,7456.0,5927.0,1.0,slopes[9]
