model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,marker
fit_phylo,0,0,-59.92,8.56,13,2.52,119.84,17.13,circumcision
fit_phylo_repeat,-0.3,0.76,-60.22,8.68,14.94,2.86,120.44,17.35,circumcision
fit_phylo_year,-0.58,0.87,-60.5,8.65,16.05,3.15,121,17.31,circumcision
fit_base,-7.29,4.02,-67.21,9.02,1.76,0.36,134.42,18.03,circumcision
fit_base,0,0,-98.65,7.38,1.89,0.25,197.3,14.76,dress
fit_phylo,-0.47,0.66,-99.12,7.43,5.42,0.57,198.23,14.86,dress
fit_phylo_repeat,-0.82,1.24,-99.47,7.52,9.4,0.96,198.94,15.05,dress
fit_phylo_year,-1.65,2.28,-100.3,7.85,10.82,1.36,200.61,15.7,dress
fit_base,0,0,-122.7,5.13,1.93,0.14,245.4,10.26,extra_ritual_group_markers
fit_phylo_repeat,-0.46,1.68,-123.16,5.39,12.84,0.76,246.32,10.78,extra_ritual_group_markers
fit_phylo,-0.57,0.78,-123.27,5.19,6.46,0.39,246.54,10.38,extra_ritual_group_markers
fit_phylo_year,-2.13,2.41,-124.83,5.75,12.73,0.98,249.65,11.49,extra_ritual_group_markers
fit_base,0,0,-91.23,7.93,1.85,0.23,182.47,15.85,food_taboos
fit_phylo,-0.68,0.47,-91.91,8.02,4.54,0.53,183.82,16.04,food_taboos
fit_phylo_repeat,-1.46,0.74,-92.69,8.12,7.22,0.84,185.38,16.25,food_taboos
fit_phylo_year,-4.04,1.91,-95.27,8.61,10.71,1.44,190.55,17.23,food_taboos
fit_base,0,0,-80.19,8.48,1.82,0.32,160.38,16.96,hair
fit_phylo,-0.53,0.71,-80.72,8.59,5.84,0.85,161.45,17.18,hair
fit_phylo_year,-0.76,2.31,-80.95,8.87,11.51,1.72,161.91,17.73,hair
fit_phylo_repeat,-1.05,1.04,-81.24,8.69,8.88,1.27,162.48,17.38,hair
fit_phylo_year,0,0,-79.82,8.46,11.06,1.68,159.64,16.93,ornaments
fit_base,-2.5,2.54,-82.32,8.47,1.82,0.29,164.65,16.95,ornaments
fit_phylo,-2.88,2.46,-82.7,8.54,6.7,0.94,165.4,17.08,ornaments
fit_phylo_repeat,-3.05,2.54,-82.88,8.6,9.8,1.36,165.75,17.21,ornaments
fit_base,0,0,-41.73,8.73,1.6,0.43,83.46,17.47,permanent_scarring
fit_phylo_year,-0.13,2.86,-41.86,9.29,7.9,2.16,83.71,18.58,permanent_scarring
fit_phylo,-0.28,0.72,-42.01,8.88,4.59,1.25,84.03,17.77,permanent_scarring
fit_phylo_repeat,-0.73,0.92,-42.46,8.97,6.66,1.8,84.92,17.95,permanent_scarring
fit_base,0,0,-46.04,9.06,1.57,0.45,92.08,18.13,tattoos_scarification
fit_phylo,-0.69,0.28,-46.73,9.21,3.66,0.98,93.45,18.42,tattoos_scarification
fit_phylo_repeat,-1.16,0.47,-47.2,9.3,5.88,1.54,94.4,18.6,tattoos_scarification
fit_phylo_year,-1.47,0.73,-47.51,9.36,8.23,2.39,95.02,18.73,tattoos_scarification
