mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
0.107,0.126,-0.148,0.353,0.001,0.001,8817.0,4930.0,1.0,b_time
-0.727,0.201,-1.105,-0.313,0.003,0.002,6212.0,5132.0,1.0,mu_intercept
1.296,0.365,0.586,2.018,0.006,0.004,4466.0,3855.0,1.0,mu_slope
-0.884,0.228,-1.342,-0.457,0.002,0.002,8465.0,7737.0,1.0,intercepts[0]
-0.749,0.316,-1.386,-0.102,0.003,0.002,9510.0,6457.0,1.0,intercepts[1]
-0.643,0.259,-1.106,-0.09,0.003,0.002,7513.0,6871.0,1.0,intercepts[2]
-0.863,0.25,-1.399,-0.402,0.003,0.002,7592.0,6818.0,1.0,intercepts[3]
-0.868,0.281,-1.453,-0.333,0.003,0.002,9061.0,7022.0,1.0,intercepts[4]
-0.602,0.4,-1.279,0.275,0.005,0.004,5821.0,5729.0,1.0,intercepts[5]
-0.588,0.379,-1.235,0.245,0.005,0.004,5770.0,5893.0,1.0,intercepts[6]
-0.646,0.251,-1.098,-0.112,0.003,0.002,7166.0,7142.0,1.0,intercepts[7]
-0.702,0.301,-1.281,-0.051,0.004,0.003,7003.0,6078.0,1.0,intercepts[8]
-0.741,0.268,-1.262,-0.171,0.003,0.002,9602.0,7129.0,1.0,intercepts[9]
1.001,0.355,0.321,1.702,0.004,0.003,9593.0,7481.0,1.0,slopes[0]
1.243,0.567,0.097,2.421,0.006,0.005,8883.0,6138.0,1.0,slopes[1]
1.474,0.633,0.354,2.858,0.008,0.006,6062.0,5727.0,1.0,slopes[2]
0.692,0.424,-0.158,1.474,0.006,0.004,5042.0,6043.0,1.0,slopes[3]
1.362,0.515,0.426,2.464,0.006,0.004,7945.0,7056.0,1.0,slopes[4]
1.453,0.629,0.34,2.778,0.008,0.006,6458.0,6096.0,1.0,slopes[5]
1.664,0.785,0.432,3.345,0.012,0.008,4634.0,6031.0,1.0,slopes[6]
1.29,0.496,0.306,2.309,0.005,0.004,8450.0,6646.0,1.0,slopes[7]
1.602,0.594,0.558,2.807,0.009,0.006,4786.0,6268.0,1.0,slopes[8]
1.198,0.398,0.376,1.957,0.004,0.003,9662.0,6888.0,1.0,slopes[9]
