mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
0.037,0.158,-0.25,0.365,0.002,0.002,11106.0,5314.0,1.0,b_time
-1.678,0.281,-2.235,-1.128,0.004,0.003,6016.0,5151.0,1.0,mu_intercept
1.108,0.407,0.344,1.949,0.005,0.004,6103.0,4894.0,1.0,mu_slope
-1.797,0.306,-2.403,-1.219,0.003,0.002,9170.0,6454.0,1.0,intercepts[0]
-1.681,0.44,-2.566,-0.798,0.004,0.003,9727.0,6774.0,1.0,intercepts[1]
-1.328,0.387,-2.025,-0.544,0.006,0.004,4547.0,6124.0,1.0,intercepts[2]
-1.944,0.385,-2.726,-1.251,0.006,0.004,5034.0,6189.0,1.0,intercepts[3]
-1.779,0.397,-2.609,-1.027,0.004,0.003,8939.0,6666.0,1.0,intercepts[4]
-1.552,0.595,-2.705,-0.227,0.006,0.004,9089.0,6277.0,1.0,intercepts[5]
-1.363,0.546,-2.335,-0.195,0.008,0.005,5294.0,6493.0,1.0,intercepts[6]
-1.545,0.334,-2.161,-0.837,0.004,0.003,8892.0,6967.0,1.0,intercepts[7]
-1.766,0.44,-2.751,-0.953,0.005,0.003,8930.0,6155.0,1.0,intercepts[8]
-2.054,0.499,-3.091,-1.213,0.007,0.005,4732.0,6589.0,1.0,intercepts[9]
1.047,0.419,0.215,1.866,0.004,0.003,9376.0,7530.0,1.0,slopes[0]
1.125,0.615,-0.094,2.401,0.006,0.005,9662.0,6515.0,1.0,slopes[1]
1.158,0.628,-0.064,2.481,0.006,0.005,9936.0,6832.0,1.0,slopes[2]
0.648,0.521,-0.406,1.624,0.007,0.005,4979.0,6231.0,1.0,slopes[3]
1.569,0.681,0.395,2.959,0.01,0.007,4826.0,6010.0,1.0,slopes[4]
0.89,0.816,-0.816,2.517,0.01,0.007,7434.0,5537.0,1.0,slopes[5]
1.706,0.957,0.247,3.726,0.014,0.01,4620.0,5726.0,1.0,slopes[6]
1.178,0.538,0.162,2.325,0.005,0.004,10135.0,7276.0,1.0,slopes[7]
1.048,0.573,0.006,2.274,0.006,0.005,9575.0,6672.0,1.0,slopes[8]
0.706,0.6,-0.523,1.807,0.008,0.006,5292.0,6023.0,1.0,slopes[9]
