mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
-0.035,0.138,-0.309,0.239,0.001,0.001,10222.0,5757.0,1.0,b_time
-1.442,0.232,-1.885,-0.98,0.003,0.002,7024.0,5046.0,1.0,mu_intercept
1.474,0.457,0.596,2.429,0.006,0.005,5157.0,4477.0,1.0,mu_slope
-1.613,0.287,-2.228,-1.093,0.003,0.002,7386.0,6961.0,1.0,intercepts[0]
-1.567,0.396,-2.433,-0.832,0.005,0.004,7078.0,6419.0,1.0,intercepts[1]
-1.375,0.292,-1.937,-0.766,0.003,0.002,9828.0,7163.0,1.0,intercepts[2]
-1.529,0.293,-2.123,-0.95,0.004,0.003,7141.0,6184.0,1.0,intercepts[3]
-1.528,0.325,-2.207,-0.897,0.003,0.003,9328.0,6382.0,1.0,intercepts[4]
-1.441,0.409,-2.315,-0.586,0.004,0.003,10342.0,6664.0,1.0,intercepts[5]
-1.319,0.405,-2.115,-0.461,0.005,0.003,8154.0,6182.0,1.0,intercepts[6]
-1.362,0.289,-1.91,-0.755,0.003,0.002,9387.0,7027.0,1.0,intercepts[7]
-1.372,0.361,-2.044,-0.563,0.004,0.003,7607.0,6007.0,1.0,intercepts[8]
-1.324,0.324,-1.969,-0.657,0.004,0.003,7454.0,6926.0,1.0,intercepts[9]
1.215,0.432,0.337,2.043,0.005,0.003,8997.0,7033.0,1.0,slopes[0]
1.31,0.73,-0.23,2.732,0.007,0.006,10264.0,6422.0,1.0,slopes[1]
1.615,0.703,0.243,3.04,0.007,0.005,10111.0,6639.0,1.0,slopes[2]
0.526,0.494,-0.448,1.476,0.007,0.006,5190.0,5093.0,1.0,slopes[3]
1.806,0.647,0.651,3.181,0.007,0.005,8570.0,6602.0,1.0,slopes[4]
0.802,1.031,-1.397,2.589,0.014,0.01,6363.0,5545.0,1.0,slopes[5]
2.288,1.074,0.525,4.52,0.016,0.011,4366.0,5153.0,1.0,slopes[6]
1.547,0.601,0.391,2.769,0.006,0.004,9643.0,7274.0,1.0,slopes[7]
2.315,0.736,0.961,3.743,0.011,0.007,4558.0,5144.0,1.0,slopes[8]
1.404,0.469,0.491,2.344,0.005,0.003,9467.0,7198.0,1.0,slopes[9]
