mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
-0.087,0.222,-0.504,0.35,0.002,0.002,11475.0,6037.0,1.0,b_time
-2.878,0.811,-4.458,-1.241,0.017,0.012,2456.0,3378.0,1.0,mu_intercept
1.215,0.592,0.053,2.369,0.008,0.006,5614.0,4858.0,1.0,mu_slope
-2.884,0.522,-3.97,-1.941,0.005,0.004,11135.0,7631.0,1.0,intercepts[0]
-4.661,1.83,-8.269,-1.59,0.028,0.02,4457.0,5551.0,1.0,intercepts[1]
-2.414,0.596,-3.551,-1.238,0.006,0.004,10571.0,6764.0,1.0,intercepts[2]
-5.808,1.797,-9.234,-2.739,0.029,0.021,3269.0,3336.0,1.0,intercepts[3]
-3.066,0.833,-4.775,-1.557,0.008,0.006,12114.0,6764.0,1.0,intercepts[4]
-0.338,1.311,-2.935,2.169,0.02,0.016,4148.0,2948.0,1.0,intercepts[5]
-0.834,0.968,-2.748,1.045,0.014,0.012,5055.0,3386.0,1.0,intercepts[6]
-2.73,0.624,-3.938,-1.539,0.006,0.005,10620.0,6330.0,1.0,intercepts[7]
-2.256,0.803,-3.813,-0.681,0.009,0.007,8169.0,5988.0,1.0,intercepts[8]
-4.454,1.16,-6.742,-2.357,0.016,0.011,5553.0,5179.0,1.0,intercepts[9]
1.226,0.581,0.062,2.369,0.006,0.004,10772.0,7128.0,1.0,slopes[0]
0.936,1.14,-1.489,2.961,0.016,0.011,5727.0,4746.0,1.0,slopes[1]
1.092,0.788,-0.523,2.652,0.008,0.006,11286.0,6067.0,1.0,slopes[2]
0.798,1.177,-1.789,2.737,0.02,0.014,4479.0,3606.0,1.0,slopes[3]
1.226,0.829,-0.411,2.977,0.008,0.007,10259.0,6202.0,1.0,slopes[4]
1.421,0.963,-0.405,3.572,0.015,0.012,4851.0,3846.0,1.0,slopes[5]
1.893,1.234,-0.07,4.448,0.022,0.016,3769.0,3549.0,1.0,slopes[6]
1.291,0.706,-0.19,2.689,0.007,0.005,9881.0,6946.0,1.0,slopes[7]
1.24,0.761,-0.268,2.843,0.009,0.007,7792.0,6259.0,1.0,slopes[8]
1.119,0.901,-0.7,3.014,0.012,0.009,5796.0,5134.0,1.0,slopes[9]
