mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
-0.066,0.166,-0.387,0.272,0.001,0.002,12647.0,5482.0,1.0,b_time
-1.69,0.45,-2.592,-0.801,0.008,0.005,3411.0,4824.0,1.0,mu_intercept
0.93,0.46,0.026,1.833,0.007,0.005,5412.0,4685.0,1.0,mu_slope
-1.885,0.355,-2.587,-1.197,0.003,0.002,10964.0,7274.0,1.0,intercepts[0]
-2.269,0.819,-3.928,-0.749,0.009,0.007,8759.0,6657.0,1.0,intercepts[1]
-1.421,0.415,-2.213,-0.585,0.004,0.003,10995.0,7371.0,1.0,intercepts[2]
-2.903,0.636,-4.112,-1.69,0.009,0.006,4785.0,4001.0,1.0,intercepts[3]
-2.251,0.601,-3.49,-1.144,0.006,0.005,9840.0,6467.0,1.0,intercepts[4]
-0.95,0.989,-2.796,1.051,0.012,0.009,6766.0,6184.0,1.0,intercepts[5]
-0.416,0.838,-1.984,1.24,0.012,0.01,4857.0,4239.0,1.0,intercepts[6]
-1.12,0.383,-1.865,-0.383,0.004,0.003,8225.0,6205.0,1.0,intercepts[7]
-1.157,0.598,-2.32,0.04,0.007,0.005,8252.0,6744.0,1.0,intercepts[8]
-2.466,0.669,-3.82,-1.205,0.008,0.006,6691.0,6050.0,1.0,intercepts[9]
0.834,0.454,-0.091,1.709,0.004,0.003,10459.0,6983.0,1.0,slopes[0]
0.43,0.998,-1.744,2.005,0.014,0.01,5583.0,5396.0,1.0,slopes[1]
0.931,0.627,-0.282,2.251,0.006,0.005,12522.0,7193.0,1.0,slopes[2]
1.133,0.633,-0.01,2.489,0.008,0.006,6101.0,5720.0,1.0,slopes[3]
1.112,0.689,-0.23,2.571,0.007,0.006,9105.0,6980.0,1.0,slopes[4]
0.939,0.794,-0.742,2.562,0.008,0.007,9162.0,6000.0,1.0,slopes[5]
1.482,1.025,-0.122,3.679,0.015,0.011,5185.0,6409.0,1.0,slopes[6]
0.915,0.548,-0.192,2.014,0.005,0.004,12208.0,7159.0,1.0,slopes[7]
1.152,0.648,-0.07,2.553,0.007,0.006,7762.0,6815.0,1.0,slopes[8]
0.344,0.843,-1.463,1.739,0.013,0.009,4643.0,5593.0,1.0,slopes[9]
