mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
0.174,0.146,-0.111,0.455,0.002,0.001,8475.0,5150.0,1.0,b_time
-1.257,0.235,-1.712,-0.795,0.003,0.002,5586.0,4534.0,1.0,mu_intercept
1.008,0.379,0.253,1.731,0.005,0.004,5180.0,4216.0,1.0,mu_slope
-1.42,0.274,-1.987,-0.92,0.003,0.002,8010.0,7122.0,1.0,intercepts[0]
-1.153,0.386,-1.885,-0.315,0.005,0.003,7592.0,6523.0,1.0,intercepts[1]
-1.103,0.31,-1.662,-0.442,0.004,0.003,6981.0,7128.0,1.0,intercepts[2]
-1.374,0.286,-1.96,-0.831,0.003,0.002,7853.0,6910.0,1.0,intercepts[3]
-1.464,0.363,-2.221,-0.81,0.005,0.003,6662.0,6573.0,1.0,intercepts[4]
-1.361,0.496,-2.414,-0.408,0.006,0.005,7824.0,5642.0,1.0,intercepts[5]
-0.983,0.491,-1.776,0.095,0.007,0.005,4444.0,5824.0,1.0,intercepts[6]
-1.131,0.293,-1.684,-0.527,0.003,0.002,7184.0,6657.0,1.0,intercepts[7]
-1.211,0.367,-1.989,-0.46,0.004,0.003,7297.0,5874.0,1.0,intercepts[8]
-1.345,0.326,-2.021,-0.708,0.003,0.002,9112.0,6999.0,1.0,intercepts[9]
0.764,0.402,-0.059,1.568,0.004,0.003,8882.0,6983.0,1.0,slopes[0]
1.131,0.585,0.086,2.439,0.007,0.005,7408.0,6552.0,1.0,slopes[1]
1.127,0.572,0.087,2.357,0.007,0.005,7521.0,6630.0,1.0,slopes[2]
0.649,0.422,-0.21,1.456,0.005,0.004,7085.0,7089.0,1.0,slopes[3]
1.095,0.555,0.037,2.291,0.007,0.005,6957.0,6440.0,1.0,slopes[4]
0.826,0.721,-0.578,2.289,0.008,0.006,8127.0,5784.0,1.0,slopes[5]
1.407,0.837,0.066,3.14,0.013,0.009,4500.0,5515.0,1.0,slopes[6]
0.936,0.491,-0.072,1.912,0.005,0.004,11160.0,6869.0,1.0,slopes[7]
1.366,0.605,0.359,2.676,0.009,0.006,4662.0,6581.0,1.0,slopes[8]
0.781,0.444,-0.146,1.622,0.005,0.003,9286.0,7169.0,1.0,slopes[9]
