mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,variable
-0.128,0.168,-0.448,0.212,0.002,0.002,11342.0,5401.0,1.0,b_time
-1.981,0.345,-2.679,-1.34,0.005,0.004,5184.0,4028.0,1.0,mu_intercept
0.947,0.565,-0.075,2.118,0.009,0.007,4318.0,4069.0,1.0,mu_slope
-1.998,0.34,-2.669,-1.324,0.004,0.003,9713.0,7052.0,1.0,intercepts[0]
-1.817,0.524,-2.854,-0.701,0.005,0.004,9512.0,6630.0,1.0,intercepts[1]
-1.603,0.416,-2.353,-0.749,0.006,0.004,4867.0,6845.0,1.0,intercepts[2]
-1.99,0.369,-2.767,-1.291,0.004,0.003,10696.0,7669.0,1.0,intercepts[3]
-2.546,0.834,-4.236,-1.38,0.014,0.01,3542.0,5234.0,1.0,intercepts[4]
-2.206,0.773,-3.829,-0.851,0.011,0.008,6804.0,4941.0,1.0,intercepts[5]
-1.711,0.6,-2.872,-0.368,0.007,0.005,7787.0,5432.0,1.0,intercepts[6]
-1.891,0.374,-2.656,-1.155,0.004,0.003,11384.0,7673.0,1.0,intercepts[7]
-1.865,0.541,-2.942,-0.699,0.007,0.005,6580.0,4858.0,1.0,intercepts[8]
-2.22,0.515,-3.335,-1.356,0.007,0.005,6051.0,5825.0,1.0,intercepts[9]
0.16,0.649,-1.162,1.352,0.008,0.006,6461.0,6394.0,1.0,slopes[0]
1.176,0.809,-0.386,2.854,0.009,0.007,8759.0,6639.0,1.0,slopes[1]
1.498,0.828,-0.022,3.207,0.01,0.007,6808.0,7086.0,1.0,slopes[2]
0.457,0.54,-0.602,1.491,0.006,0.005,8716.0,6930.0,1.0,slopes[3]
0.271,1.238,-2.328,2.338,0.017,0.015,6129.0,5192.0,1.0,slopes[4]
0.448,1.234,-2.041,2.764,0.014,0.012,8631.0,5973.0,1.0,slopes[5]
1.664,1.346,-0.667,4.451,0.018,0.013,5754.0,5746.0,1.0,slopes[6]
1.062,0.648,-0.198,2.373,0.006,0.005,10157.0,6879.0,1.0,slopes[7]
2.016,0.886,0.385,3.737,0.015,0.01,3574.0,5458.0,1.0,slopes[8]
0.728,0.637,-0.541,1.987,0.007,0.006,8002.0,6137.0,1.0,slopes[9]
