entry_id,entrytag_id,entrytag_name,entrytag_level,entrytag_path,parent_entrytag_id
23,8,Religious Group,1,Religious Group[8],
23,1946,Sino-Tibetan,2,Language[1747]->Sino-Tibetan[1946],1747.0
23,4344,Old Chinese,4,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],3038.0
23,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
23,3038,Sinitic,3,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],1946.0
173,8,Religious Group,1,Religious Group[8],
173,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
173,1876,Turkic,2,Language[1747]->Turkic[1876],1747.0
174,11126,Middle-Modern Aramaic,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126],9970.0
174,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
174,12053,Eastern Aramaic,10,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053],11126.0
174,3237,Semitic,3,Language[1747]->Afro-Asiatic[1977]->Semitic[3237],1977.0
174,8598,Aramaic,7,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598],7096.0
174,12890,Classical Syriac,11,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Classical Syriac[12890],12053.0
174,4434,West Semitic,4,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434],3237.0
174,9970,Imperial-Middle-Modern Aramaic,8,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970],8598.0
174,741,Hellenistic Religions,2,Religious Group[8]->Hellenistic Religions[741],8.0
174,742,Early Christianity,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],18.0
174,1977,Afro-Asiatic,2,Language[1747]->Afro-Asiatic[1977],1747.0
174,5695,Central Semitic,5,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695],4434.0
174,7096,Northwest Semitic,6,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096],5695.0
174,8,Religious Group,1,Religious Group[8],
176,11121,Ancient Hebrew,9,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121],9968.0
