entry_id,entry_name,question_id,question_name,answer,answer_value
182,Pauline Christianity,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
210,Jesus Associations and the Synoptic Gospels,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
390,Dasara,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
390,Dasara,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
423,Mediterranean,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
423,Mediterranean,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
441,Worshipers of Śītalā,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
441,Worshipers of Śītalā,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
493,Krishna Worship in North India - Modern Period,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
493,Krishna Worship in North India - Modern Period,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
563,"Gaddi, a Hindu community of the Western Himalayas",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
563,"Gaddi, a Hindu community of the Western Himalayas",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
570,Supreme Master Ching Hai World Society,3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
570,Supreme Master Ching Hai World Society,3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
590,Huayan School (Early Tang),3173,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
590,Huayan School (Early Tang),3175,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
607,Mohism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
607,Mohism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
633,Mādhva,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
633,Mādhva,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
770,Thai Forest Tradition,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
770,Thai Forest Tradition,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
802,Chinese Nunnery in Myanmar,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
802,Chinese Nunnery in Myanmar,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
812,Temple of the Jedi Order,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
812,Temple of the Jedi Order,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
824,"Central Macedonia, Greece: Eastern Orthodoxy",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
824,"Central Macedonia, Greece: Eastern Orthodoxy",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
826,"The Church of Christ, Scientist",5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
826,"The Church of Christ, Scientist",5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
846,Xuanzang's Yogācāra Tradition,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
846,Xuanzang's Yogācāra Tradition,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
855,Middle-Class Migrant Muslims in the UAE,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
855,Middle-Class Migrant Muslims in the UAE,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
857,Wesleyanism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
857,Wesleyanism,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
866,Taigu School,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
866,Taigu School,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
908,Sino-Christian Theology,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
908,Sino-Christian Theology,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
928,The Ghost Dance Movement and the Lakota Sioux,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
928,The Ghost Dance Movement and the Lakota Sioux,5223,Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
935,Nigerian Pentecostalism,5222,Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,Yes,1
