"entry_id","entry_tag","entrytag_id","parent_tag_id","level"
15,Asia,2,7,2
15,Polity,7,,1
23,Religious Group,8,,1
23,Chinese Religion,123,8,2
37,Religious Group,8,,1
37,Buddhist Traditions,14,8,2
37,Japanese Religions,26,8,2
37,Japanese Buddhist Traditions,94,14,3
37,Japanese Buddhist Traditions,364,26,3
93,Religious Group,8,,1
93,Chinese Religion,123,8,2
93,Chinese State Religion,128,123,3
96,Religious Group,8,,1
96,Christian Traditions,18,8,2
96,Chinese Religion,123,8,2
96,Orthodox/Eastern Christian,172,18,3
96,Nestorian,178,172,4
96,Chinese Nestorian Traditions,244,123,3
129,Religious Group,8,,1
129,Japanese Neo-Confucianism,411,410,4
137,Religious Group,8,,1
137,Chinese Religion,123,8,2
137,Chinese State Religion,128,123,3
143,Religious Group,8,,1
143,Chinese Religion,123,8,2
143,Chinese State Religion,128,123,3
172,Religious Group,8,,1
172,Roman Religious Traditions,42,8,2
173,Religious Group,8,,1
173,Christian Traditions,18,8,2
174,Religious Group,8,,1
174,Christian Traditions,18,8,2
174,Hellenistic Religions,741,8,2
174,Early Christianity,742,18,3
175,Religious Group,8,,1
175,Christian Traditions,18,8,2
175,Hellenistic Religions,741,8,2
175,Early Christianity,742,18,3
176,Religious Group,8,,1
176,Jewish Traditions,27,8,2
176,Late Second Temple Judaism,743,27,3
177,Religious Group,8,,1
177,Christian Traditions,18,8,2
177,Jewish Traditions,27,8,2
177,Hellenistic Religions,741,8,2
177,Early Christianity,742,18,3
177,Late Second Temple Judaism,743,27,3
178,Religious Group,8,,1
178,Chinese Religion,123,8,2
178,Chinese Common Religions,126,123,3
178,Chinese State Religion,128,123,3
180,Religious Group,8,,1
180,Chinese Religion,123,8,2
180,Chinese Folk Religions,127,123,3
180,Chinese State Religion,128,123,3
180,Shang Religion / Western Zhou Religion,129,128,4
181,Religious Group,8,,1
181,Jewish Traditions,27,8,2
182,Religious Group,8,,1
182,Christian Traditions,18,8,2
182,Greek Religions,22,8,2
182,Roman Religious Traditions,42,8,2
182,Ancient Christianity in Rome,730,42,3
183,Religious Group,8,,1
183,Greek Religions,22,8,2
183,Jewish Traditions,27,8,2
183,Roman Religious Traditions,42,8,2
183,Late Second Temple Judaism,743,27,3
184,Religious Group,8,,1
184,Buddhist Traditions,14,8,2
184,Chinese Buddhist Traditions,65,14,3
184,Chinese Religion,123,8,2
185,Religious Group,8,,1
185,Japanese Religions,26,8,2
185,Shintō,297,8,2
185,Shintō,368,26,3
185,New Religious Movements,370,368,4
185,New Religious Movements,398,297,3
186,Religious Group,8,,1
186,Buddhist Traditions,14,8,2
186,Chinese Buddhist Traditions,65,14,3
186,Chinese Religion,123,8,2
186,Chinese Buddhist Traditions,383,123,3
187,Religious Group,8,,1
187,Chinese Religion,123,8,2
187,Chinese State Religion,128,123,3
187,Shang Religion / Western Zhou Religion,129,128,4
189,Religious Group,8,,1
189,Jewish Traditions,27,8,2
190,Religious Group,8,,1
190,Buddhist Traditions,14,8,2
191,Religious Group,8,,1
191,Sikhism,44,8,2
192,Religious Group,8,,1
192,Oceanic Religions,40,8,2
192,Melanesia,311,40,3
192,Fijian Religons,312,311,4
193,Religious Group,8,,1
193,Oceanic Religions,40,8,2
193,Melanesia,311,40,3
193,Fijian Religons,312,311,4
195,Religious Group,8,,1
195,Hinduism,1244,8,2
195,Shaktism,1327,1244,3
196,Religious Group,8,,1
196,Christian Traditions,18,8,2
196,Greek Religions,22,8,2
196,Roman Religious Traditions,42,8,2
196,Ancient Christianity in Rome,730,42,3
197,Religious Group,8,,1
197,Buddhist Traditions,14,8,2
197,Tibetan Buddhist Traditions,116,14,3
197,Geluk sect (dge lugs),117,116,4
198,Religious Group,8,,1
198,Greek Religions,22,8,2
199,Religious Group,8,,1
199,Mithraism,36,8,2
199,Roman Religious Traditions,42,8,2
200,Religious Group,8,,1
200,Buddhist Traditions,14,8,2
200,Tibetan Buddhist Traditions,116,14,3
200,Geluk sect (dge lugs),117,116,4
200,Nyingma sect (rnying ma),119,116,4
200,Sakya sect (sa skya),121,116,4
201,Religious Group,8,,1
201,Anatolian Religions,10,8,2
201,Egyptian Religions,20,8,2
201,Greek Religions,22,8,2
201,Mithraism,36,8,2
201,Roman Religious Traditions,42,8,2
201,Roman State Religions,299,42,3
201,Republican Religions,506,299,4
201,Ancient Christianity in Rome,730,42,3
201,Diaspora Judaism in Rome,731,42,3
201,Greek Religions in Rome,733,42,3
201,Roman Private Religions,736,42,3
201,Imperial Cult (emperor worship),740,299,4
202,Religious Group,8,,1
202,Chinese Religion,123,8,2
203,Religious Group,8,,1
203,Chinese Religion,123,8,2
204,Religious Group,8,,1
204,Chinese Religion,123,8,2
204,Chinese State Religion,128,123,3
204,Han Imperial Confucianism,130,128,4
204,Confucian (rujia 儒家) Traditions,131,123,3
207,Religious Group,8,,1
207,Chinese Religion,123,8,2
207,Chinese Buddhist Traditions,383,123,3
209,Religious Group,8,,1
209,Egyptian Religions,20,8,2
210,Religious Group,8,,1
210,Roman Religious Traditions,42,8,2
210,Ancient Christianity in Rome,730,42,3
211,Religious Group,8,,1
211,Egyptian Religions,20,8,2
212,Religious Group,8,,1
212,Chinese Religion,123,8,2
