entry_id,question_id,poll,parent_question_id,question_name,question_short,answer_value,level,answer_inferred
2308,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2302,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,,parent,No
2290,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2278,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2274,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2273,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2266,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,0.0,parent,No
2264,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2256,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2255,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2248,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2247,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2246,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2245,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2244,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2243,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2238,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2237,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,,parent,No
2233,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2232,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2228,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2225,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2210,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2203,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2200,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2194,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2180,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2168,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2166,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2160,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2157,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2149,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2148,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2147,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2141,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2139,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2138,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2133,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2131,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2128,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2126,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2122,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
2116,4654,Religious Group (v6),0,Are other religious groups in cultural contact with target religion:,cultural contact,1.0,parent,No
