entry_id,question_id,poll,parent_question_id,question_name,question_short,answer_value,level,answer_inferred
2308,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2302,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,,parent,No
2290,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2278,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2274,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2273,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,0.0,parent,No
2266,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,0.0,parent,No
2264,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2256,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2255,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2248,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2247,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2246,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2245,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2244,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2243,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2238,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2237,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2233,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2232,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2228,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2225,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2210,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2203,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2200,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2194,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2180,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2168,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,,parent,No
2166,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2160,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2157,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2149,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2148,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2147,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2141,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2139,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2138,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2133,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2131,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,,parent,No
2128,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2126,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2122,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2116,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
2114,4776,Religious Group (v6),0,Is a spirit-body distinction present:,spirit-body distinction,1.0,parent,No
