entry_id,question_id,question_short,parent_question_id,answer_value,question_name,answer_inferred
23,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
173,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
174,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
176,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
178,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
180,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
182,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
185,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
186,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
187,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
190,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
191,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
192,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
193,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
195,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
198,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
199,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
200,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
201,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
211,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
212,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
217,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
222,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
228,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
230,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
231,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
240,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
245,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
255,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
257,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
263,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
284,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
294,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
310,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
354,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
355,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
358,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
364,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
374,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
378,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
381,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
383,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
387,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
389,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
390,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
392,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
395,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
400,3063,extra_ritual_group_markers,0,0.0,Are extra-ritual in-group markers present:,No
406,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
415,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
416,3063,extra_ritual_group_markers,0,1.0,Are extra-ritual in-group markers present:,No
